adverse_event,report_count
PELVIC PAIN,1035
PRODUCT ADMINISTRATION INTERRUPTED,1032
FAECES SOFT,1031
ABNORMAL DREAMS,1029
"SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",1025
ULCER,1024
GASTRIC ULCER,1023
NOCTURIA,1017
EYE DISCHARGE,1014
SCAR,1012
IMPAIRED WORK ABILITY,1011
COLD SWEAT,1011
BLOOD URINE PRESENT,1011
EYE INFECTION,1008
SLEEP APNOEA SYNDROME,1007
BACK DISORDER,1006
ACUTE MYELOID LEUKAEMIA,1006
METASTASES TO LUNG,1000
RESTLESS LEGS SYNDROME,997
"HALLUCINATION, AUDITORY",997
SUBSTANCE USE DISORDER,997
MACULAR DEGENERATION,994
NEPHROPATHY TOXIC,994
BACTERAEMIA,988
ANKLE FRACTURE,984
MUSCULOSKELETAL CHEST PAIN,984
PHOTOSENSITIVITY REACTION,982
EOSINOPHILIC OESOPHAGITIS,981
TACHYPNOEA,976
OBSTRUCTIVE AIRWAYS DISORDER,976
SKIN INFECTION,976
SINUS CONGESTION,975
FISTULA,969
ILEUS,969
NAIL DISORDER,958
HEART RATE IRREGULAR,958
EJECTION FRACTION DECREASED,957
PARAESTHESIA ORAL,956
LYMPHOPENIA,956
PERIORBITAL SWELLING,954
TOOTH INFECTION,952
HYPERTRANSAMINASAEMIA,951
EYE INFLAMMATION,951
LARYNGITIS,945
THERAPEUTIC REACTION TIME DECREASED,944
PHARYNGITIS STREPTOCOCCAL,943
PNEUMONIA BACTERIAL,939
INJECTION SITE DISCOLOURATION,938
COLON CANCER,936
BLOOD POTASSIUM INCREASED,936
APATHY,933
GAMMA-GLUTAMYLTRANSFERASE INCREASED,932
C-REACTIVE PROTEIN ABNORMAL,930
MUSCULOSKELETAL DISORDER,929
ISCHAEMIC STROKE,928
APPLICATION SITE PAIN,923
MULTIPLE ALLERGIES,919
DIZZINESS POSTURAL,918
MALNUTRITION,917
BLINDNESS UNILATERAL,917
CARPAL TUNNEL SYNDROME,915
APPLICATION SITE PRURITUS,910
SCHIZOPHRENIA,909
BLOOD TRIGLYCERIDES INCREASED,905
SMALL INTESTINAL OBSTRUCTION,904
SWELLING OF EYELID,904
PROSTATIC SPECIFIC ANTIGEN INCREASED,902
RESPIRATORY ARREST,901
BRAIN OEDEMA,900
PRODUCT TASTE ABNORMAL,899
PRODUCT ODOUR ABNORMAL,899
